2022-02-18T16-04-21,32459,Primary Care South,02/17/2022 12:00:00 AM,,48,,
2022-03-03T09-56-49,32459,Primary Care South,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,72,,
2022-03-03T10-04-44,32459,Primary Care South,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,32459,Primary Care South,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,120,,
2022-03-29T08-50-48,32459,Primary Care South,NLP,NLP,NLP,58,02/09/2022 12:00:00 AM
2022-03-30T09-27-07,32459,Primary Care South,NLP,NLP,NLP,58,02/09/2022 12:00:00 AM
2022-03-31T08-53-07,32459,Primary Care South,NLP,NLP,NLP,58,02/09/2022 12:00:00 AM
2022-03-31T15-09-22,32459,Primary Care South,NLP,NLP,NLP,58,02/09/2022 12:00:00 AM
2022-04-01T06-54-45,32459,Primary Care South,NLP,NLP,NLP,58,02/09/2022 12:00:00 AM
2022-04-02T06-05-59,32459,Primary Care South,NLP,NLP,NLP,58,02/09/2022 12:00:00 AM
2022-04-03T05-51-54,32459,Primary Care South,NLP,NLP,NLP,58,02/09/2022 12:00:00 AM
2022-04-04T05-38-24,32459,Primary Care South,NLP,NLP,NLP,58,02/09/2022 12:00:00 AM
