2022-02-18T16-04-21,42642,RUSSELL COUNTY HOSPITAL- 100640,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,48,,
2022-03-03T09-56-49,42642,RUSSELL COUNTY HOSPITAL- 100640,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,96,,
2022-03-03T10-04-44,42642,RUSSELL COUNTY HOSPITAL- 100640,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,96,,
2022-03-08T14-40-56,42642,RUSSELL COUNTY HOSPITAL- 100640,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,96,,
2022-03-16T18-51-35,42642,RUSSELL COUNTY HOSPITAL,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,42642,RUSSELL COUNTY HOSPITAL,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,42642,RUSSELL COUNTY HOSPITAL,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,42642,RUSSELL COUNTY HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,42642,RUSSELL COUNTY HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,42642,RUSSELL COUNTY HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,42642,RUSSELL COUNTY HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,42642,RUSSELL COUNTY HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,42642,RUSSELL COUNTY HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
