2022-02-18T16-04-21,27520,Johnston Health Clayton,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,36,,
2022-03-03T09-56-49,27520,Johnston Health Clayton,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,108,,
2022-03-03T10-04-44,27520,Johnston Health Clayton,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,108,,
2022-03-08T14-40-56,27520,Johnston Health Clayton,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,168,,
2022-03-16T18-51-35,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,27520,WINDSOR POINT PHARMACY,NLP,NLP,NLP,17,03/23/2022 12:00:00 AM
