2022-02-18T16-04-21,28645,CALDWELL MEM HOSP INC,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,42,,
2022-03-03T09-56-49,28645,CALDWELL MEM HOSP INC,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,102,,
2022-03-03T10-04-44,28645,CALDWELL MEM HOSP INC,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,102,,
2022-03-08T14-40-56,28645,CALDWELL MEM HOSP INC,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,102,,
2022-03-16T18-51-35,28645,CALDWELL MEMORIAL HOSPITAL,NLP,NLP,NLP,72,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,28645,Caldwell County Health Department,NLP,NLP,NLP,26,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,28645,CALDWELL MEMORIAL HOSPITAL,NLP,NLP,NLP,72,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,28645,Caldwell County Health Department,NLP,NLP,NLP,26,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,28645,CALDWELL MEMORIAL HOSPITAL,NLP,NLP,NLP,72,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,28645,Caldwell County Health Department,NLP,NLP,NLP,26,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,28645,CALDWELL MEMORIAL HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,28645,Caldwell County Health Department,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,28645,CALDWELL MEMORIAL HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,28645,Caldwell County Health Department,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,28645,CALDWELL MEMORIAL HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,28645,Caldwell County Health Department,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,28645,Caldwell County Health Department,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,28645,CALDWELL MEMORIAL HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,28645,CALDWELL MEMORIAL HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,28645,Caldwell County Health Department,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,28645,CALDWELL MEMORIAL HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,28645,Caldwell County Health Department,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,28645,CALDWELL MEMORIAL HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,28645,Caldwell County Health Department,NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
