2022-02-18T16-04-21,64111,ST LUKES HOSP KC WORNAL,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,64111,ST LUKES HOSP KC WORNAL,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,64111,ST LUKES HOSP KC WORNAL,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,64111,ST LUKES HOSP KC WORNAL,03/08/2022 12:00:00 AM,03/02/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,34,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,34,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,34,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,64111,ST LUKES HOSPITAL OF KANSAS CITY,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
