2022-02-18T16-04-21,11230,IVDRIPS,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,11230,IVDRIPS,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,11230,IVDRIPS,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,11230,IVDRIPS,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,11230,NP in Family Health on Demand 24/7 PLLC,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
