2022-02-18T16-04-21,88260,NOR-LEA GENERAL HOSPITAL,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,88260,NOR-LEA GENERAL HOSPITAL,02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,88260,NOR-LEA GENERAL HOSPITAL,02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,88260,NOR-LEA GENERAL HOSPITAL,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,88260,NOR-LEA HOSPITAL DISTRICT,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
