2022-03-08T14-40-56,32807,GEMD 32,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,32807,GUIDEWELL EMERGENCY MED DRS 32,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
