2022-02-18T16-04-21,54701,MMC - EAU CLAIRE HOSPITAL,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-02-18T16-04-21,54701,SACRED HEART HOSPITAL,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,54701,MMC - EAU CLAIRE HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,36,,
2022-03-03T09-56-49,54701,SACRED HEART HOSPITAL,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,54701,MMC - EAU CLAIRE HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,54701,SACRED HEART HOSPITAL,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,54701,MMC - EAU CLAIRE HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,54701,SACRED HEART HOSPITAL,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,54701,MARSHFIELD MEDICAL CENTER - EAU CLAIRE,NLP,NLP,NLP,38,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,54701,MARSHFIELD MEDICAL CENTER - EAU CLAIRE,NLP,NLP,NLP,38,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,54701,MARSHFIELD MEDICAL CENTER - EAU CLAIRE,NLP,NLP,NLP,38,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,54701,MARSHFIELD MEDICAL CENTER - EAU CLAIRE,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,54701,MARSHFIELD MEDICAL CENTER - EAU CLAIRE,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,54701,MARSHFIELD MEDICAL CENTER - EAU CLAIRE,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,54701,MARSHFIELD MEDICAL CENTER - EAU CLAIRE,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,54701,MARSHFIELD MEDICAL CENTER - EAU CLAIRE,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
