2022-02-18T16-04-21,73120,MERCY HOSPITAL - OKC,02/16/2022 12:00:00 AM,,42,,
2022-03-03T09-56-49,73120,MERCY HOSPITAL - OKC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,78,,
2022-03-03T10-04-44,73120,MERCY HOSPITAL - OKC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,78,,
2022-03-08T14-40-56,73120,MERCY HOSPITAL - OKC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,78,,
2022-03-16T18-51-35,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,73120,"MERCY HOSPITAL OKLAHOMA CITY, INC",NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
