2022-02-18T16-04-21,02115,BRIGHAM AND WOMENS HOSPITAL OCCUPAT,02/17/2022 12:00:00 AM,,60,,
2022-03-03T09-56-49,02115,BRIGHAM AND WOMENS HOSPITAL OCCUPAT,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,144,,
2022-03-03T10-04-44,02115,BRIGHAM AND WOMENS HOSPITAL OCCUPAT,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,144,,
2022-03-08T14-40-56,02115,BRIGHAM AND WOMENS HOSPITAL OCCUPAT,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,180,,
2022-03-16T18-51-35,02115,BOSTON CHILDREN'S HOSPITAL,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,02115,BRIGHAM AND WOMEN'S HOSPITAL,NLP,NLP,NLP,164,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,02115,DANA-FARBER CANCER INSTITUTE,NLP,NLP,NLP,61,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,02115,BOSTON CHILDREN'S HOSPITAL,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,02115,DANA-FARBER CANCER INSTITUTE,NLP,NLP,NLP,61,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,02115,BRIGHAM AND WOMEN'S HOSPITAL,NLP,NLP,NLP,164,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,02115,BOSTON CHILDREN'S HOSPITAL,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,02115,DANA-FARBER CANCER INSTITUTE,NLP,NLP,NLP,61,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,02115,BRIGHAM AND WOMEN'S HOSPITAL,NLP,NLP,NLP,164,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,02115,BOSTON CHILDREN'S HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,02115,BRIGHAM AND WOMEN'S HOSPITAL,NLP,NLP,NLP,164,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,02115,DANA-FARBER CANCER INSTITUTE,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,02115,DANA-FARBER CANCER INSTITUTE,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,02115,BOSTON CHILDREN'S HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,02115,BRIGHAM AND WOMEN'S HOSPITAL,NLP,NLP,NLP,164,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,02115,BOSTON CHILDREN'S HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,02115,DANA-FARBER CANCER INSTITUTE,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,02115,BRIGHAM AND WOMEN'S HOSPITAL,NLP,NLP,NLP,164,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,02115,DANA-FARBER CANCER INSTITUTE,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,02115,BRIGHAM AND WOMEN'S HOSPITAL,NLP,NLP,NLP,164,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,02115,BOSTON CHILDREN'S HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,02115,DANA-FARBER CANCER INSTITUTE,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,02115,BOSTON CHILDREN'S HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,02115,BRIGHAM AND WOMEN'S HOSPITAL,NLP,NLP,NLP,164,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,02115,DANA-FARBER CANCER INSTITUTE,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,02115,BOSTON CHILDREN'S HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,02115,BRIGHAM AND WOMEN'S HOSPITAL,NLP,NLP,NLP,164,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,02115,DANA-FARBER CANCER INSTITUTE,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,02115,BOSTON CHILDREN'S HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,02115,BRIGHAM AND WOMEN'S HOSPITAL,NLP,NLP,NLP,164,03/16/2022 12:00:00 AM
