2022-02-18T16-04-21,00820,Juan Luis Hospital Medical Center,02/15/2022 12:00:00 AM,,60,,
2022-03-03T09-56-49,00820,Juan Luis Hospital Medical Center,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,180,,
2022-03-03T10-04-44,00820,Juan Luis Hospital Medical Center,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,180,,
2022-03-08T14-40-56,00820,Juan Luis Hospital Medical Center,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,180,,
2022-03-16T18-51-35,00820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,NLP,NLP,NLP,374,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,00820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,NLP,NLP,NLP,374,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,00820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,NLP,NLP,NLP,374,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,00820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,NLP,NLP,NLP,434,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,00820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,NLP,NLP,NLP,434,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,00820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,NLP,NLP,NLP,434,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,00820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,NLP,NLP,NLP,434,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,00820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,NLP,NLP,NLP,434,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,00820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,NLP,NLP,NLP,434,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,00820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,NLP,NLP,NLP,434,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,00820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,NLP,NLP,NLP,434,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,00820,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,NLP,NLP,NLP,434,03/16/2022 12:00:00 AM
