2022-02-18T16-04-21,54143,AURORA BAY AREA MEDICAL CENTER,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,54143,AURORA BAY AREA MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,54143,AURORA BAY AREA MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,54143,AURORA BAY AREA MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,54143,AURORA MEDICAL CENTER BAY AREA,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,54143,AURORA MEDICAL CENTER BAY AREA,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,54143,AURORA MEDICAL CENTER BAY AREA,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,54143,AURORA MEDICAL CENTER BAY AREA,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,54143,AURORA MEDICAL CENTER BAY AREA,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,54143,AURORA MEDICAL CENTER BAY AREA,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,54143,AURORA MEDICAL CENTER BAY AREA,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,54143,AURORA MEDICAL CENTER BAY AREA,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,54143,AURORA MEDICAL CENTER BAY AREA,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,54143,AURORA MEDICAL CENTER BAY AREA,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
