2022-02-18T16-04-21,10977,Refuah Health Center,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,10977,Refuah Health Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,10977,Visiting Docs,02/23/2022 12:00:00 AM,,30,,
2022-03-03T10-04-44,10977,Visiting Docs,02/23/2022 12:00:00 AM,03/01/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,10977,Refuah Health Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,10977,Refuah Health Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,10977,Visiting Docs,02/23/2022 12:00:00 AM,03/01/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,10977,REFUAH HEALTH CENTER,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,10977,REFUAH HEALTH CENTER,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,10977,REFUAH HEALTH CENTER,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,10977,REFUAH HEALTH CENTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,10977,REFUAH HEALTH CENTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,10977,REFUAH HEALTH CENTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,10977,REFUAH HEALTH CENTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,10977,REFUAH HEALTH CENTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,10977,REFUAH HEALTH CENTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,10977,REFUAH HEALTH CENTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
