2022-02-18T16-04-21,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,02/16/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-03T10-04-44,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,84,,
2022-03-08T14-40-56,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,102,,
2022-03-16T18-51-35,56401,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,NLP,NLP,NLP,92,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,56401,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,NLP,NLP,NLP,92,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,56401,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,NLP,NLP,NLP,92,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,56401,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,NLP,NLP,NLP,83,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,56401,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,NLP,NLP,NLP,83,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,56401,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,NLP,NLP,NLP,83,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,56401,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,NLP,NLP,NLP,83,03/16/2022 12:00:00 AM
