2022-02-18T16-04-21,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,03/08/2022 12:00:00 AM,02/24/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,63353,PIKE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
