2022-02-18T16-04-21,28791,Margaret R Pardee Hospital Pharmacy,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,28791,Margaret R Pardee Hospital Pharmacy,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,66,,
2022-03-03T10-04-44,28791,Margaret R Pardee Hospital Pharmacy,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,66,,
2022-03-08T14-40-56,28791,Margaret R Pardee Hospital Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,114,,
2022-03-16T18-51-35,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,123,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,123,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,123,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,28791,MARGARET R PARDEE MEMORIAL HOSPITAL,NLP,NLP,NLP,123,03/30/2022 12:00:00 AM
