2022-02-18T16-04-21,79107,AMARILLO PUBLIC HEALTH,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,288,,
2022-03-03T09-56-49,79107,AMARILLO PUBLIC HEALTH,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,480,,
2022-03-03T10-04-44,79107,AMARILLO PUBLIC HEALTH,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,480,,
2022-03-08T14-40-56,79107,AMARILLO PUBLIC HEALTH,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,480,,
2022-03-16T18-51-35,79107,Amarillo Public Health Department,NLP,NLP,NLP,257,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,79107,Amarillo Public Health Department,NLP,NLP,NLP,257,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,79107,Amarillo Public Health Department,NLP,NLP,NLP,257,03/09/2022 12:00:00 AM
2022-03-29T08-50-48,79107,Amarillo Public Health Department,NLP,NLP,NLP,257,03/09/2022 12:00:00 AM
2022-03-30T09-27-07,79107,Amarillo Public Health Department,NLP,NLP,NLP,257,03/09/2022 12:00:00 AM
2022-03-31T08-53-07,79107,Amarillo Public Health Department,NLP,NLP,NLP,257,03/09/2022 12:00:00 AM
2022-03-31T15-09-22,79107,Amarillo Public Health Department,NLP,NLP,NLP,257,03/09/2022 12:00:00 AM
2022-04-01T06-54-45,79107,Amarillo Public Health Department,NLP,NLP,NLP,257,03/09/2022 12:00:00 AM
2022-04-02T06-05-59,79107,Amarillo Public Health Department,NLP,NLP,NLP,257,03/09/2022 12:00:00 AM
2022-04-03T05-51-54,79107,Amarillo Public Health Department,NLP,NLP,NLP,257,03/09/2022 12:00:00 AM
2022-04-04T05-38-24,79107,Amarillo Public Health Department,NLP,NLP,NLP,257,03/09/2022 12:00:00 AM
