2022-02-18T16-04-21,64506,HEARTLAND REG MED CTR,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,64506,HEARTLAND REG MED CTR,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,64506,HEARTLAND REG MED CTR,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,64506,HEARTLAND REG MED CTR,03/08/2022 12:00:00 AM,03/02/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,64506,MOSAIC LIFE CARE AT ST JOSEPH,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,64506,MOSAIC LIFE CARE AT ST JOSEPH,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,64506,MOSAIC LIFE CARE AT ST JOSEPH,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,64506,MOSAIC LIFE CARE AT ST JOSEPH,NLP,NLP,NLP,92,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,64506,MOSAIC LIFE CARE AT ST JOSEPH,NLP,NLP,NLP,92,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,64506,MOSAIC LIFE CARE AT ST JOSEPH,NLP,NLP,NLP,92,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,64506,MOSAIC LIFE CARE AT ST JOSEPH,NLP,NLP,NLP,92,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,64506,MOSAIC LIFE CARE AT ST JOSEPH,NLP,NLP,NLP,92,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,64506,MOSAIC LIFE CARE AT ST JOSEPH,NLP,NLP,NLP,92,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,64506,MOSAIC LIFE CARE AT ST JOSEPH,NLP,NLP,NLP,92,03/16/2022 12:00:00 AM
