2022-02-18T16-04-21,27889,VIDANT BEAUFORT HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,27889,VIDANT BEAUFORT HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,27889,VIDANT BEAUFORT HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,27889,VIDANT BEAUFORT HOSPITAL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-31T08-53-07,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-31T15-09-22,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-04-01T06-54-45,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,28,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,28,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,28,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,28,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,27889,VIDANT BEAUFORT HOSPITAL,NLP,NLP,NLP,28,03/30/2022 12:00:00 AM
