2022-03-08T14-40-56,77386,VANTAGE SPECIALTY HEALTH SERVICES L,03/07/2022 12:00:00 AM,03/04/2022 12:00:00 AM,96,,
2022-03-16T18-51-35,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,77386,HOUSTON MEDICAL ER RAYFORD,NLP,NLP,NLP,94,03/23/2022 12:00:00 AM
