2022-02-18T16-04-21,56278,Ortonville Area Health Services,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,56278,Ortonville Area Health Services,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,56278,Ortonville Area Health Services,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,56278,Ortonville Area Health Services,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,56278,ORTONVILLE MUNICIPAL HOSPITAL,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,56278,ORTONVILLE MUNICIPAL HOSPITAL,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,56278,ORTONVILLE MUNICIPAL HOSPITAL,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,56278,ORTONVILLE MUNICIPAL HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,56278,ORTONVILLE MUNICIPAL HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,56278,ORTONVILLE MUNICIPAL HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,56278,ORTONVILLE MUNICIPAL HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,56278,ORTONVILLE MUNICIPAL HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,56278,ORTONVILLE MUNICIPAL HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
