2022-02-18T16-04-21,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,21550,GARRETT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,33,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,21550,GARRETT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,33,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,21550,GARRETT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,33,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,21550,GARRETT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,21550,GARRETT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,21550,GARRETT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,21550,GARRETT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,21550,GARRETT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,21550,GARRETT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,21550,GARRETT COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
