2022-02-18T16-04-21,36305,FLOWERS HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,36305,FLOWERS HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,36305,FLOWERS HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,42,,
2022-03-08T14-40-56,36305,FLOWERS HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
