2022-02-18T16-04-21,65401,PHELPS HEALTH COVID CLINIC,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,65401,PHELPS HEALTH COVID CLINIC,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,65401,PHELPS HEALTH COVID CLINIC,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,42,,
2022-03-08T14-40-56,65401,PHELPS HEALTH COVID CLINIC,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,65401,PHELPS HEALTH,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,65401,PHELPS HEALTH,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,65401,PHELPS HEALTH,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-22T09-16-18,65401,PHELPS HEALTH,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,65401,PHELPS HEALTH,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,65401,PHELPS HEALTH,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,65401,PHELPS HEALTH,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,65401,PHELPS HEALTH,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,65401,PHELPS HEALTH,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,65401,PHELPS HEALTH,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,65401,PHELPS HEALTH,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
