2022-02-18T16-04-21,80113,MK Healthcare PLLC,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,80113,MK Healthcare PLLC,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,80113,MK Healthcare PLLC,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,80113,MK Healthcare PLLC,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,80113,MK Healthcare PLLC,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,80113,MK Healthcare PLLC,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,80113,MK Healthcare PLLC,NLP,NLP,NLP,31,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,80113,MK Healthcare PLLC,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,80113,MK Healthcare PLLC,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,80113,MK Healthcare PLLC,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,80113,MK Healthcare PLLC,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,80113,MK Healthcare PLLC,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,80113,MK Healthcare PLLC,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,80113,MK Healthcare PLLC,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,80113,MK Healthcare PLLC,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,80113,MK Healthcare PLLC,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,80113,Colorado Blood and Cancer Care,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,80113,MK Healthcare PLLC,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
