2022-02-18T16-04-21,48038,HENRY FORD MACOMB HOSPITAL,02/17/2022 12:00:00 AM,,30,,
2022-03-03T09-56-49,48038,HENRY FORD MACOMB HOSPITAL,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,102,,
2022-03-03T10-04-44,48038,HENRY FORD MACOMB HOSPITAL,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,102,,
2022-03-08T14-40-56,48038,HENRY FORD MACOMB HOSPITAL,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,102,,
2022-03-16T18-51-35,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,48038,HENRY FORD MACOMB HOSPITAL,NLP,NLP,NLP,36,03/23/2022 12:00:00 AM
