2022-02-18T16-04-21,25401,Berkeley Medical Center,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,25401,Berkeley Medical Center,02/22/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,25401,Berkeley Medical Center,02/22/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,25401,Berkeley Medical Center,02/22/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,25401,BERKELEY MEDICAL CENTER,NLP,NLP,NLP,68,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,25401,BERKELEY MEDICAL CENTER,NLP,NLP,NLP,68,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,25401,BERKELEY MEDICAL CENTER,NLP,NLP,NLP,68,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,25401,BERKELEY MEDICAL CENTER,NLP,NLP,NLP,67,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,25401,BERKELEY MEDICAL CENTER,NLP,NLP,NLP,67,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,25401,BERKELEY MEDICAL CENTER,NLP,NLP,NLP,67,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,25401,BERKELEY MEDICAL CENTER,NLP,NLP,NLP,67,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,25401,BERKELEY MEDICAL CENTER,NLP,NLP,NLP,67,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,25401,BERKELEY MEDICAL CENTER,NLP,NLP,NLP,67,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,25401,BERKELEY MEDICAL CENTER,NLP,NLP,NLP,67,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,25401,BERKELEY MEDICAL CENTER,NLP,NLP,NLP,67,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,25401,BERKELEY MEDICAL CENTER,NLP,NLP,NLP,67,03/16/2022 12:00:00 AM
