2022-03-03T09-56-49,40031,BAPTIST HOSPITAL LAGRANGE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,40031,BAPTIST HOSPITAL LAGRANGE,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,40031,BAPTIST HOSPITAL LAGRANGE,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,40031,BAPTIST HEALTH LA GRANGE,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
