2022-02-18T16-04-21,55902,MAYO ROCHESTER METHODIST HOSPITAL,02/16/2022 12:00:00 AM,,84,,
2022-03-03T09-56-49,55902,MAYO ROCHESTER METHODIST HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,198,,
2022-03-03T10-04-44,55902,MAYO ROCHESTER METHODIST HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,198,,
2022-03-08T14-40-56,55902,MAYO ROCHESTER METHODIST HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,366,,
2022-03-16T18-51-35,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,349,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,349,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,349,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,474,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,474,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,474,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,474,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,474,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,474,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,474,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,474,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,474,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,474,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,474,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,610,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,55902,MAYO CLINIC HOSPITAL ROCHESTER,NLP,NLP,NLP,610,03/23/2022 12:00:00 AM
