2022-03-08T14-40-56,80907,Future Innovative Treatments,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,80907,CENTURA HEALTH-PENROSE-ST FRANCIS HEALTH SERVICES,NLP,NLP,NLP,46,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,80907,CENTURA HEALTH-PENROSE-ST FRANCIS HEALTH SERVICES,NLP,NLP,NLP,46,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,80907,CENTURA HEALTH-PENROSE-ST FRANCIS HEALTH SERVICES,NLP,NLP,NLP,46,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,80907,CENTURA PENROSE HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,80907,"Future Innovative Treatments, LLC",NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,80907,CENTURA PENROSE HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,80907,"Future Innovative Treatments, LLC",NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,80907,CENTURA PENROSE HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,80907,"Future Innovative Treatments, LLC",NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,80907,"Future Innovative Treatments, LLC",NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,80907,CENTURA PENROSE HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,80907,"Future Innovative Treatments, LLC",NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,80907,CENTURA PENROSE HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,80907,"Future Innovative Treatments, LLC",NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,80907,CENTURA PENROSE HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,80907,"Future Innovative Treatments, LLC",NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,80907,CENTURA PENROSE HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,80907,CENTURA PENROSE HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,80907,"Future Innovative Treatments, LLC",NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,80907,PHARMERICA-COLORADO SPRGS 7017,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,80907,CENTURA PENROSE HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,80907,"Future Innovative Treatments, LLC",NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,80907,CENTURA PENROSE HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,80907,PHARMERICA-COLORADO SPRGS 7017,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,80907,"Future Innovative Treatments, LLC",NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,80907,CENTURA PENROSE HOSPITAL,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,80907,PHARMERICA-COLORADO SPRGS 7017,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,80907,"Future Innovative Treatments, LLC",NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,80907,PHARMERICA-COLORADO SPRGS 7017,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
