2022-02-18T16-04-21,26354,GRAFTON CITY HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,26354,GRAFTON CITY HOSPITAL,02/22/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,26354,GRAFTON CITY HOSPITAL,02/22/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,26354,GRAFTON CITY HOSPITAL,02/22/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,26354,"GRAFTON CITY HOSPITAL, INC",NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
