2022-02-18T16-04-21,67002,KANSAS MEDICAL CENTER,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,67002,KANSAS MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,67002,KANSAS MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,42,,
2022-03-08T14-40-56,67002,KANSAS MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,41,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,41,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,41,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,67002,KANSAS MEDICAL CENTER LLC,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
