2022-02-18T16-04-21,71832,RANDY WALKER MD,02/16/2022 12:00:00 AM,,24,,
2022-02-18T16-04-21,71832,De Queen Health and Wellness,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,71832,RANDY WALKER MD,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,48,,
2022-03-03T09-56-49,71832,De Queen Health and Wellness,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,120,,
2022-03-03T10-04-44,71832,De Queen Health and Wellness,03/01/2022 12:00:00 AM,02/24/2022 12:00:00 AM,180,,
2022-03-03T10-04-44,71832,RANDY WALKER MD,03/01/2022 12:00:00 AM,02/24/2022 12:00:00 AM,78,,
2022-03-08T14-40-56,71832,De Queen Health and Wellness,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,180,,
2022-03-08T14-40-56,71832,RANDY WALKER MD,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,78,,
2022-03-16T18-51-35,71832,De Queen Health and Wellness Pharmacy,NLP,NLP,NLP,182,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,71832,De Queen Health and Wellness Pharmacy,NLP,NLP,NLP,182,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,71832,De Queen Health and Wellness Pharmacy,NLP,NLP,NLP,182,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,71832,De Queen Health and Wellness Pharmacy,NLP,NLP,NLP,265,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,71832,De Queen Health and Wellness Pharmacy,NLP,NLP,NLP,265,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,71832,De Queen Health and Wellness Pharmacy,NLP,NLP,NLP,265,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,71832,De Queen Health and Wellness Pharmacy,NLP,NLP,NLP,265,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,71832,De Queen Health and Wellness Pharmacy,NLP,NLP,NLP,265,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,71832,De Queen Health and Wellness Pharmacy,NLP,NLP,NLP,265,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,71832,De Queen Health and Wellness Pharmacy,NLP,NLP,NLP,265,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,71832,De Queen Health and Wellness Pharmacy,NLP,NLP,NLP,265,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,71832,De Queen Health and Wellness Pharmacy,NLP,NLP,NLP,265,03/16/2022 12:00:00 AM
