2022-02-18T16-04-21,97601,SKY LAKES MEDICAL CENTER,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,97601,SKY LAKES MEDICAL CENTER,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,97601,Klamath Health Partnership,02/25/2022 12:00:00 AM,,6,,
2022-03-03T10-04-44,97601,SKY LAKES MEDICAL CENTER,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,97601,Klamath Health Partnership,02/25/2022 12:00:00 AM,,6,,
2022-03-08T14-40-56,97601,SKY LAKES MEDICAL CENTER,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,97601,Klamath Health Partnership,02/25/2022 12:00:00 AM,,6,,
2022-03-18T11-17-38,97601,SKY LAKES MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,97601,SKY LAKES MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,97601,SKY LAKES MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,97601,SKY LAKES MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,97601,SKY LAKES MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,97601,SKY LAKES MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,97601,SKY LAKES MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,97601,SKY LAKES MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,97601,SKY LAKES MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
