2022-02-18T16-04-21,32827,UCF LAKE NONA MEDICAL CENTER,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,32827,UCF LAKE NONA MEDICAL CENTER,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,32827,UCF LAKE NONA MEDICAL CENTER,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,32827,UCF Lake Nona Medical Center,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,96,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,96,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,96,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,96,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,32827,UCF LAKE NONA HOSPITAL,NLP,NLP,NLP,96,03/23/2022 12:00:00 AM
