2022-02-18T16-04-21,26330,UNITED HOSPITAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,36,,
2022-03-03T09-56-49,26330,UNITED HOSPITAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,108,,
2022-03-03T10-04-44,26330,UNITED HOSPITAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,108,,
2022-03-08T14-40-56,26330,UNITED HOSPITAL CENTER,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,150,,
2022-03-16T18-51-35,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,26,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,26,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,26,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,59,03/16/2022 12:00:00 AM
