2022-02-18T16-04-21,57262,Sisseton Service Unit - WWKMHCC,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,57262,Sisseton Service Unit - WWKMHCC,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,57262,Sisseton Service Unit - WWKMHCC,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,57262,Sisseton Service Unit - WWKMHCC,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,57262,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,NLP,NLP,NLP,3,03/16/2022 12:00:00 AM
