2022-03-08T14-40-56,32055,Lake City Medical Center,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,32055,HCA FLORIDA LAKE CITY HOSPITAL,NLP,NLP,NLP,41,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,32055,Legacy of N. FL. Inc.,NLP,NLP,NLP,214,03/30/2022 12:00:00 AM
