2022-02-18T16-04-21,41017,ST ELIZABETH HEALTHCARE EDGEWOOD,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,54,,
2022-03-03T09-56-49,41017,ST. ELIZABETH HEALTHCARE EDGEWOOD,02/25/2022 12:00:00 AM,02/23/2022 12:00:00 AM,174,,
2022-03-03T10-04-44,41017,ST. ELIZABETH HEALTHCARE EDGEWOOD,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,174,,
2022-03-08T14-40-56,41017,ST. ELIZABETH HEALTHCARE EDGEWOOD,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,174,,
2022-03-16T18-51-35,41017,ST ELIZABETH MEDICAL CENTER NORTH,NLP,NLP,NLP,209,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,41017,ST ELIZABETH MEDICAL CENTER NORTH,NLP,NLP,NLP,209,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,41017,ST ELIZABETH MEDICAL CENTER NORTH,NLP,NLP,NLP,209,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,41017,ST ELIZABETH MEDICAL CENTER NORTH,NLP,NLP,NLP,193,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,41017,ST ELIZABETH MEDICAL CENTER NORTH,NLP,NLP,NLP,193,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,41017,ST ELIZABETH MEDICAL CENTER NORTH,NLP,NLP,NLP,193,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,41017,ST ELIZABETH MEDICAL CENTER NORTH,NLP,NLP,NLP,193,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,41017,ST ELIZABETH MEDICAL CENTER NORTH,NLP,NLP,NLP,193,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,41017,ST ELIZABETH MEDICAL CENTER NORTH,NLP,NLP,NLP,193,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,41017,ST ELIZABETH MEDICAL CENTER NORTH,NLP,NLP,NLP,193,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,41017,ST ELIZABETH MEDICAL CENTER NORTH,NLP,NLP,NLP,193,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,41017,ST ELIZABETH MEDICAL CENTER NORTH,NLP,NLP,NLP,193,03/16/2022 12:00:00 AM
