2022-02-18T16-04-21,31730,Mitchell County Hospital Pharmacy,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,31730,Mitchell County Hospital Pharmacy,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-03T10-04-44,31730,Mitchell County Hospital Pharmacy,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-08T14-40-56,31730,Mitchell County Hospital Pharmacy,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,66,,
2022-03-16T18-51-35,31730,Mitchell County Hospital,NLP,NLP,NLP,125,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,31730,Mitchell County Hospital,NLP,NLP,NLP,125,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,31730,Mitchell County Hospital,NLP,NLP,NLP,125,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,31730,MITCHELL COUNTY HOSPITAL,NLP,NLP,NLP,125,03/30/2022 12:00:00 AM
