2022-03-08T14-40-56,54871,INDIANHEAD MEDICAL CENTER,03/07/2022 12:00:00 AM,,24,,
2022-03-16T18-51-35,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,54871,INDIANHEAD MEDICAL CENTER SHELL LAKE,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
