2022-02-18T16-04-21,57701,MONUMENT HEALTH RCH PHARMACY,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,57701,MONUMENT HEALTH RCH PHARMACY,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,90,,
2022-03-03T10-04-44,57701,MONUMENT HEALTH RCH PHARMACY,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,90,,
2022-03-08T14-40-56,57701,MONUMENT HEALTH RCH PHARMACY,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,108,,
2022-03-16T18-51-35,57701,MONUMENT HEALTH RAPID CITY HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,57701,MONUMENT HEALTH RAPID CITY HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,57701,MONUMENT HEALTH RAPID CITY HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,57701,MONUMENT HEALTH RAPID CITY HOSPITAL,NLP,NLP,NLP,46,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,57701,MONUMENT HEALTH RAPID CITY HOSPITAL,NLP,NLP,NLP,46,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,57701,MONUMENT HEALTH RAPID CITY HOSPITAL,NLP,NLP,NLP,46,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,57701,MONUMENT HEALTH RAPID CITY HOSPITAL,NLP,NLP,NLP,46,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,57701,MONUMENT HEALTH RAPID CITY HOSPITAL,NLP,NLP,NLP,46,03/16/2022 12:00:00 AM
