2022-02-18T16-04-21,55102,Allina United Hospital Inpatient Ph,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,55102,Allina United Hospital Inpatient Ph,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,55102,Allina United Hospital Inpatient Ph,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,55102,Allina United Hospital Inpatient Ph,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,55102,UNITED HOSPITAL,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,55102,UNITED HOSPITAL,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,55102,UNITED HOSPITAL,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,55102,UNITED HOSPITAL,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,55102,UNITED HOSPITAL,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,55102,UNITED HOSPITAL,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,55102,UNITED HOSPITAL,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,55102,UNITED HOSPITAL,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,55102,UNITED HOSPITAL,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,55102,UNITED HOSPITAL,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,55102,UNITED HOSPITAL,NLP,NLP,NLP,31,03/16/2022 12:00:00 AM
