2022-02-18T16-04-21,97206,GOLDEN DAWN CLINIC PHARMACY,02/17/2022 12:00:00 AM,,18,,
2022-03-03T09-56-49,97206,GOLDEN DAWN CLINIC PHARMACY,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,97206,GOLDEN DAWN CLINIC PHARMACY,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,97206,GOLDEN DAWN CLINIC PHARMACY,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,97206,GOLDEN DAWN CLINIC,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,97206,GOLDEN DAWN CLINIC,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,97206,GOLDEN DAWN CLINIC,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,97206,GOLDEN DAWN CLINIC,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,97206,GOLDEN DAWN CLINIC,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,97206,GOLDEN DAWN CLINIC,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,97206,GOLDEN DAWN CLINIC,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
