2022-02-18T16-04-21,19047,ST MARY MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,19047,ST MARY MEDICAL CENTER,02/24/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,19047,ST MARY MEDICAL CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,19047,ST MARY MEDICAL CENTER,03/07/2022 12:00:00 AM,03/01/2022 12:00:00 AM,24,,
2022-03-18T11-17-38,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,19047,ST MARY MEDICAL CENTER,NLP,NLP,NLP,28,03/23/2022 12:00:00 AM
