2022-02-18T16-04-21,70112,TULANE MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,70112,TULANE MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,70112,TULANE MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,70112,TULANE MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,70112,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NLP,NLP,NLP,89,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,70112,TULANE MEDICAL CENTER,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
