2022-02-18T16-04-21,12601,VASSAR BROTHERS MED CTR,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,12601,VASSAR BROTHERS MED CTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,12601,VASSAR BROTHERS MED CTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,12601,VASSAR BROTHERS MED CTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,12601,VASSAR BROTHERS MEDICAL CENTER,NLP,NLP,NLP,80,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,12601,VASSAR BROTHERS MEDICAL CENTER,NLP,NLP,NLP,80,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,12601,VASSAR BROTHERS MEDICAL CENTER,NLP,NLP,NLP,80,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,12601,VASSAR BROTHERS MEDICAL CENTER,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,12601,VASSAR BROTHERS MEDICAL CENTER,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,12601,VASSAR BROTHERS MEDICAL CENTER,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,12601,VASSAR BROTHERS MEDICAL CENTER,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,12601,VASSAR BROTHERS MEDICAL CENTER,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,12601,VASSAR BROTHERS MEDICAL CENTER,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,12601,VASSAR BROTHERS MEDICAL CENTER,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,12601,VASSAR BROTHERS MEDICAL CENTER,NLP,NLP,NLP,76,03/16/2022 12:00:00 AM
