2022-02-18T16-04-21,15102,SPARTAN PHARMACY BETHEL PARK,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,15102,SPARTAN PHARMACY BETHEL PARK,02/24/2022 12:00:00 AM,02/17/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,15102,SPARTAN PHARMACY BETHEL PARK,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,15102,SPARTAN PHARMACY BETHEL PARK,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,15102,SPARTAN PHARMACY - South Park Rd.,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
