2022-02-18T16-04-21,36535,IMMEDIATE CARE FOLEY,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,36535,IMMEDIATE CARE FOLEY,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,36535,IMMEDIATE CARE FOLEY,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,36535,IMMEDIATE CARE FOLEY,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,36535,SOUTH BALDWIN REGIONAL MEDICAL CENTER,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
