2022-02-18T16-04-21,49201,HENRY FORD ALLEGIANCE,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,49201,HENRY FORD ALLEGIANCE,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,72,,
2022-03-03T10-04-44,49201,HENRY FORD ALLEGIANCE,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,49201,HENRY FORD ALLEGIANCE,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,102,,
2022-03-16T18-51-35,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,87,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,87,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,87,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,49201,HENRY FORD ALLEGIANCE HEALTH,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
