2022-02-18T16-04-21,72143,Advanced Care Hospital,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,72143,Advanced Care Hospital,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,72143,Advanced Care Hospital,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,72143,Advanced Care Hospital,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,72143,ADVANCED CARE HOSPITAL WHITE COUNTY,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
