2022-03-08T14-40-56,34741,Physician Surgical Network,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,34741,HCA FLORIDA OSCEOLA HOSPITAL,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,34741,HCA FLORIDA OSCEOLA HOSPITAL,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,34741,HCA FLORIDA OSCEOLA HOSPITAL,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,34741,HCA FLORIDA OSCEOLA HOSPITAL,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,34741,HCA FLORIDA OSCEOLA HOSPITAL,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,34741,HCA FLORIDA OSCEOLA HOSPITAL,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,34741,HCA FLORIDA OSCEOLA HOSPITAL,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,34741,HCA FLORIDA OSCEOLA HOSPITAL,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,34741,HCA FLORIDA OSCEOLA HOSPITAL,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,34741,HCA FLORIDA OSCEOLA HOSPITAL,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,34741,HCA FLORIDA OSCEOLA HOSPITAL,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
