2022-02-18T16-04-21,51104,UNITYPOINT HEALTH ST LUKES,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,51104,UNITYPOINT HEALTH ST LUKES,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,51104,UNITYPOINT HEALTH ST LUKES,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,51104,UNITYPOINT HEALTH ST LUKES,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,51104,ST LUKES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,21,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,51104,ST LUKES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,21,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,51104,ST LUKES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,21,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,51104,ST LUKES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,51104,ST LUKES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,51104,ST LUKES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,51104,ST LUKES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,21,03/16/2022 12:00:00 AM
