2022-02-18T16-04-21,16001,BUTLER MEMORIAL HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,16001,BUTLER MEMORIAL HOSPITAL,02/24/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,16001,BUTLER MEMORIAL HOSPITAL,02/24/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,16001,BUTLER MEMORIAL HOSPITAL,02/24/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,16001,BUTLER MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,16001,BUTLER MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,16001,BUTLER MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,16001,BUTLER MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,16001,BUTLER MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,16001,BUTLER MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,16001,BUTLER MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
