2022-02-18T16-04-21,16335,MEADVILLE MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,16335,MEADVILLE MEDICAL CENTER,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,16335,MEADVILLE MEDICAL CENTER,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,16335,MEADVILLE MEDICAL CENTER,03/07/2022 12:00:00 AM,03/03/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
