2022-02-18T16-04-21,49423,HOLLAND HOSPITAL,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,49423,HOLLAND HOSPITAL,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,49423,HOLLAND HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,49423,HOLLAND HOSPITAL,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,66,,
2022-03-16T18-51-35,49423,HOLLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,99,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,49423,HOLLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,99,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,49423,HOLLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,99,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,49423,HOLLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,133,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,49423,HOLLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,133,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,49423,HOLLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,133,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,49423,HOLLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,133,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,49423,HOLLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,133,03/16/2022 12:00:00 AM
