2022-02-18T16-04-21,77014,KELSEY-SEYBOLD INFUSION PHARMACY,02/15/2022 12:00:00 AM,02/16/2022 12:00:00 AM,48,,
2022-03-03T09-56-49,77014,KELSEY-SEYBOLD INFUSION PHARMACY,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,96,,
2022-03-03T10-04-44,77014,KELSEY-SEYBOLD INFUSION PHARMACY,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,96,,
2022-03-08T14-40-56,77014,KELSEY-SEYBOLD INFUSION PHARMACY,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,96,,
2022-03-18T11-17-38,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,165,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,165,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,165,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,165,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,165,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,165,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,165,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,165,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,165,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,165,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,165,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,77014,KELSEY-SEYBOLD INFUSION PHARMACY,NLP,NLP,NLP,164,03/23/2022 12:00:00 AM
