2022-02-18T16-04-21,56283,CARRIS HEALTH REDWOOD FALLS HOSP,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,56283,CARRIS HEALTH REDWOOD FALLS HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,56283,CARRIS HEALTH REDWOOD FALLS HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,56283,CARRIS HEALTH REDWOOD FALLS HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,56283,"CARRIS HEALTH - REDWOOD, LLC",NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
