2022-02-18T16-04-21,80206,NATIONAL JEWISH HEALTH,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,80206,NATIONAL JEWISH HEALTH,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,80206,NATIONAL JEWISH HEALTH,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,80206,NATIONAL JEWISH HEALTH,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,80206,NATIONAL JEWISH HEALTH,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,80206,NATIONAL JEWISH HEALTH,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,80206,NATIONAL JEWISH HEALTH,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-19T11-58-02,80206,NATIONAL JEWISH HEALTH,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,80206,NATIONAL JEWISH HEALTH,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,80206,NATIONAL JEWISH HEALTH,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,80206,NATIONAL JEWISH HEALTH,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,80206,NATIONAL JEWISH HEALTH,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,80206,NATIONAL JEWISH HEALTH,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,80206,NATIONAL JEWISH HEALTH,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,80206,NATIONAL JEWISH HEALTH,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
