2022-02-18T16-04-21,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,02/16/2022 12:00:00 AM,,60,,
2022-03-03T09-56-49,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,120,,
2022-03-03T10-04-44,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,120,,
2022-03-08T14-40-56,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,204,,
2022-03-16T18-51-35,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,177,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,177,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,177,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,336,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,336,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,336,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,336,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,336,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,336,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,336,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,336,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,336,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,336,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,336,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,446,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,446,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,446,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,56001,MAYO CLINIC HEALTH SYSTEM - MANKATO,NLP,NLP,NLP,446,03/23/2022 12:00:00 AM
