2022-03-08T14-40-56,68901,Redline Specialty Pharmacy,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,68901,MARY LANNING HEALTHCARE,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,68901,Redline Specialty Pharmacy,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,68901,MARY LANNING HEALTHCARE,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,68901,Redline Specialty Pharmacy,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,68901,MARY LANNING HEALTHCARE,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,68901,Redline Specialty Pharmacy,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,68901,Redline Specialty Pharmacy,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,68901,MARY LANNING HEALTHCARE,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,68901,Redline Specialty Pharmacy,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,68901,MARY LANNING HEALTHCARE,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,68901,MARY LANNING HEALTHCARE,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,68901,Redline Specialty Pharmacy,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,68901,Redline Specialty Pharmacy,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,68901,MARY LANNING HEALTHCARE,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,68901,Redline Specialty Pharmacy,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,68901,MARY LANNING HEALTHCARE,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,68901,MARY LANNING HEALTHCARE,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,68901,Redline Specialty Pharmacy,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,68901,MARY LANNING HEALTHCARE,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,68901,Redline Specialty Pharmacy,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,68901,Redline Specialty Pharmacy,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,68901,MARY LANNING HEALTHCARE,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
