2022-02-18T16-04-21,71103,WILLIS KNIGHTON MEDICAL CENTER,02/18/2022 12:00:00 AM,02/17/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,71103,WILLIS KNIGHTON MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,78,,
2022-03-03T10-04-44,71103,WILLIS KNIGHTON MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,78,,
2022-03-08T14-40-56,71103,WILLIS KNIGHTON MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,78,,
2022-03-16T18-51-35,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,71103,"WILLIS KNIGHTON MEDICAL CENTER, INC",NLP,NLP,NLP,70,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,71103,OCHSNER LSU HEALTH SHREVEPORT,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
