2022-02-18T16-04-21,28105,UBYLEE HEALTHCARE GROUP PLLC,02/16/2022 12:00:00 AM,,36,,
2022-03-03T09-56-49,28105,UBYLEE HEALTHCARE GROUP PLLC,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,28105,UBYLEE HEALTHCARE GROUP PLLC,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,28105,UBYLEE HEALTHCARE GROUP PLLC,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,120,,
2022-03-29T08-50-48,28105,UBYLEE HEALTHCARE GROUP,NLP,NLP,NLP,2,03/02/2022 12:00:00 AM
2022-03-30T09-27-07,28105,UBYLEE HEALTHCARE GROUP,NLP,NLP,NLP,2,03/02/2022 12:00:00 AM
2022-03-31T08-53-07,28105,UBYLEE HEALTHCARE GROUP,NLP,NLP,NLP,2,03/02/2022 12:00:00 AM
2022-03-31T15-09-22,28105,UBYLEE HEALTHCARE GROUP,NLP,NLP,NLP,2,03/02/2022 12:00:00 AM
2022-04-01T06-54-45,28105,UBYLEE HEALTHCARE GROUP,NLP,NLP,NLP,2,03/02/2022 12:00:00 AM
2022-04-02T06-05-59,28105,UBYLEE HEALTHCARE GROUP,NLP,NLP,NLP,2,03/02/2022 12:00:00 AM
2022-04-03T05-51-54,28105,UBYLEE HEALTHCARE GROUP,NLP,NLP,NLP,2,03/02/2022 12:00:00 AM
2022-04-04T05-38-24,28105,UBYLEE HEALTHCARE GROUP,NLP,NLP,NLP,2,03/02/2022 12:00:00 AM
